make,rata2_sekarang,rata2_prediksi,tren_prediksi
audi,15666.18,11777.438404943512,turun
bmw,15042.945,20253.865708327,naik
honda,6852.577222222223,8527.211736024807,naik
mazda,8037.250555555556,4862.721730723373,turun
mercedes-benz,24003.11625,20057.778934225335,turun
mitsubishi,6721.914166666667,6080.455360672776,turun
nissan,8412.77925925926,8564.515474724942,naik
peugot,12756.930000000002,10694.48640252215,turun
plymouth,6162.454999999999,6157.980560461547,turun
saab,12726.942,9322.556888199799,turun
subaru,6848.654166666667,5897.285940927595,turun
toyota,8055.73891025641,11805.687004685831,naik
volkswagen,7434.153333333335,7208.326326627441,turun
volvo,14929.554444444444,13930.951929277035,turun
